text,target
Дівчинка – це помічниця для мами(Ігнатенко),Стереотип
Всі чоловіки козли(Ігнатенко),Секзим
"Він занадто молодий, щоб бути начальником",Стереотип
"Жінко, твій день восьме березня",Стереотип
Виховання дітей – це доля жінки,Стереотип
Чоловіки не плачуть,Стереотип
Всі чоловіки полігамні і жінки повині з цим змиритись,Стереотип
"Чоловік, який стверджує, що жінці місце на кухні просто не знає що з нею робити в спальні ",Сексизм
"Хлопцям потрібно гарно вчитись, а дівчатам достатньо успішно вийти заміж",Стереотип
"Тобі нема чого вчитися стріляти, ти ж дівчина.
Не розкрита фраза ",Стереотип
Жіноча логіка.,Стереотип
"Жінки, це прикраса, вони радують чоловікам очі.",Лукізм
"Такій гарній дівчині як ти, легше живеться.",Стереотип
"Носи жіночний одяг, ти ж дівчинка.",Стереотипне бачення фемінності
"Ти чоловік, ти повинен заробляти і забезпечувати свою сім'ю.",Стереотип
Сильне чоловіче плече,Стереотип
"Відпустка для догляду за дитиною, тільки жіноча справа.", стереотип
Чоловік повинен платити за жінку.,Стереотип
" Б'є значить-любить
Фраза не розкрита 
пошукати публікації на Гендер в деталях ",Стереотип
Я старше мені видніше.,Ейджизм
Всі жінки емоційні.,Стереотип
 Батьківського інстинкту не існує ,Стереотип
"Дамський угодник
ця фраза не розкрита 
література не дуже доречна 
погугліть ретельніше і переробіть ",Стереотип
Підкаблучник (каблук),Стереотип
"Волос довгий, розум короткий ",Стереотип
"Аби стати жінкою генерала, потрібно вийти заміж за лейтенанта ",Стереотип
"Ну ви ж жінка, потерпите",Стереотип
Жінки - квіти життя ,"Стереотип
які критерії? чому далі подібне твердження - обєктивація? 
гендерний стереотип, об'єктивація жінок - так можна доповнити "
"Жінка має займатися одним, чоловік - іншим ",Стереотип
Вона моя ціль ,Об'єктивація
"Нормального чоловіка нудить від всіх ваших, дівчата, «я сама»
не розумію цю фразу та її пояснення? якщо ви теж не дуже розумієте, то запитайте 
у авторок проекту, про що йдеться ",Стереотип
Жінка без чоловіка - неповноцінний член суспільства  ,Стереотип
Дамський каприз ,Стереотип
Як втримати чоловіка ,"Стереотипні уявлення
чим відрізняється від стереотипу? "
Розкрий свою внутрішню жінку,Стереотип
Чоловіки полюбляють «розкривати упаковку»,Об'єктивація
Не для тебе матуся квітку вирощувала,"Сексизм
а чому не об'єктивація? "
Нарешті я зробила собі груди ,"Лукізм
а чому не сексизм? "
Хлопці не мають права ображати (ганьбити) жінку  ,"Сексизм, стереотип"
"Чим більше ти вписуєшся в стандарти краси, тим менше тобі доведеться робити самій","Лукізм
а сексизм і гендерний стереотип? "
"Я зрозуміла, що особливих талантів у мене немає, через це доведеться бути красивою  ","Стереотип, сексизм"
Соски наче червона ганчірка для чоловіка ,"Стереотип, сексизм"
Геїв потрібно вбивати,Дискримінація
Вона подарувала йому дитину ,Об'єктивація
Кожній жінці хочеться подобатися (за замовченням мається на увазі чоловікам),"Стереотип, сексизм"
Справжніх чоловіків залишилось мало,"Стереотип, сексизм"
"Ти недожінка, якщо не вмієш готувати ","Стереотип, сексизм"
Жіноча мудрість,Стереотип
Не народжувала – не жінка ,Стереотип
"  Успішна кар'єра у жінок, значить все через ліжко ",Сексизм 
"Зґвалтування дівчини, тому що вона сама винна в тому ",Насильство
  Рожевий - дівчачий колір ,Стереотип
"Тобі, як жінці, не сподобається ця робота, вона пов'язана з технологіями. ","Сексизм та стереотипізація щодо певних навичок
а це що за нова категорія? чому не гендерний стереотип? "
Непогано як для жінки ,"Побутовий сексизм
чим відрізняється від звичайного сексизму? чи доцільно вживати? "
"Подивимось, чи є в вас щось окрім краси ",Побутовий сексизм
"Пощастило, що у мене доньки (стосовно допомоги з хатньою роботою) ","Сексизм
а чому не гендерний стереотип? "
Жінка за кермом як мавпа з гранатою,"Сексизм та стереотипізація щодо певних навичок
краще продумати тут і далі категорії класифікації"
"Жінка за кермом як зірка в небі - ти її бачиш, а вона тебе ні ",Сексизм та стереотипізація щодо певних навичок
Хлопці не тримаються за мамин поділ ,"Стереотипне бачення маскулінності
варто гендерний стереотип "
"Якщо ти капризна під час вагітності, то точно чекай дівчинку ","Стереотипізація жінок за ознакою емоційності
Можливо, не варто так деталізувати, бо не усі це роблять
А гендерний стереотип "
Жіноча інтуіція ,Гендерний стереотип
Всі жінки - стерви ,Гендерний стереотип
Жінкам від нас потрібні тільки гроші ,Гендерний стереотип
"Якщо він не платить за тебе вже на першому побаченні, то ти для нього точно нічого не означаєш",Гендерний стереотип
"Чоловік - голова, а жінка - шия
Це досить популярне українське прислів'я, тому варто більш зрозуміло пояснити, аби, наприклад
ваші батьки могли зрозуміти ",Гендерний стереотип
"Секс на першому побаченні: чоловік - мачо, а жінка - повія","Гендерний стереотип, сексизм"
"Якщо ти будеш ніжною та жіночною, то він захоче тебе оберігати та захищати","Стереотипне бачення маскулінності
чому тільки маскулінності? "
Старая дева,Сексизм
Жінки постійно перебивають!,Гендерний стереотип
Жіночої дружби не існує,Гендерний стереотип
"Мудра жінка,  навіть посварившись з чоловіком, все одно приготує йому вечерю
Пояснення не зовсім стосується фрази, для чого жінка це зробить? ",
"Якою б сильною жінка не була, вона все одно шукає чоловіка сильнішого за себе",
"Чоловік повинен допомогти жінці бути слабкою, сильною вона може бути і без нього ",
Дівоча пам'ять ,
Пацан сказав - пацан зробив,? 
Жінка ніколи не зрівняється з чоловіком,сексизм
"Жінка стає повноцінною тільки тоді, коли її полюбить чоловік","сексизм
а чому не гендерні стереотипи? "
"Жіночий мозок у середньому важить меньше чоловічого, тому жінку важко зрозуміти  ",стереотип
Блондинки не такі вже й дури як хотілось   ,"сексизм, лукізм "
"Розумна жінка сама розуміє, що вона дура   ",сексизм
"Без жінки ти не чоловік, а з жінкою не людина ",Сексизм 
"Баби дури не тому що дури, а тому що баби  
пошукайте, звідки ця фраза ",сексизм
"У житті жінки є три періоди: спочатку вона отруює життя батька, потім чоловікові, а потім зятю  ","сексизм
мізогінія? "
Коли чоловік говорить - жінка повинна мовчати  ,сексизм
Нехай жінка не розмірковує: це жахливо   ,Сексизм
Чоловік повинен бути трішки гарніший за мавпу ,лукізм 
Перші 40 років дитинства чоловіків - найважчі,Сексизм
"Бог створив жінок красивими, щоб їх могли любити чоловіки, і дурними - щоб вони могли любити чоловіків",Сексизм
Всі чоловіки однакові,Сексизм
"Чоловіки хочуть сексу, жінки кохання",Сексизм
"Ти така роздратована, у тебе ці дні?",Сексизм
"Не буває не гарних жінок, буває замало алкоголю","Сексизм, лукізм"
Тобі в навігаторі потрібно було чоловічий голос обрати. Жіночий голос право і ліво плутає,Сексизм
"Дівчатам на обов'язково бути розумними, нехай будуть гарними","Сексизм, лукізм"
Жінка повинна взяти прізвище чоловіка і це навіть не обговорюється,Сексизм
Всі жінки хочуть заміж та дітей,Сексизм
Чоловіки не вміють доглядати за дитиною,Сексизм
"Жінка повинна народжувати дітей, чоловік займатись кар'єрою",Сексизм
"Жінки повинні бути більш покірними та приділяти більше уваги чоловікам, тоді і насильства в сім'ї буде менше",Сексизм
"Чоловіки більш раціональні, тому можуть краще приймати рішення",Сексизм
Жінці не місце в політиці ,Сексизм
Прикраса жінки - мовчання ,Сексизм
Жінка - це невдалий чоловік. ,"Сексизм
це вже навіть приклад мізогінії "
Місія кожної жінки - стати мамою ,Стереотип
Я ще ніколи не бачив гарну феміністку,"Лукізм
Чи є тут також і сексизм? "
"Суспільство може прагнути рівності, але в біології рівність зустрічається лише на кладовищі. ",Стереотип - який? генедрний? 
" Частіше всього феміністки за матріархат, що означає домінувати над чоловіками.",Стереотип
"Найцікавіше, що серед жінок, що створили нормальну сім'ю з чоловіком, феміністок майже немає.",Стереотип
" Я за фемінізм, нехай вони служать в армії, працюють на будівництві та б'ються в спорті з чоловіками ","Стереотип, маніпуляція"
"Ми живемо в матріархаті, тому що чоловіки купляють дівчатам шмотки",Стереотип
"Фемінізм - хвороба жінок, які мають сексуальні чи гормональні відхилення.","Гомофобія 
Тут радше йдеться про мізогінію "
"Фемінізм часто сприймається, як бажання жінок стати чоловіком, а не рівні права. Рівні права це розподілення прав та обов'язків через закони та спільно моральну поведінку, а не диктатура і ворожнеча до чоловіків.",Стереотип
"Чим радикальніша феміністка, тим вона страшніша",Лукізм
"Найбільш реалістичний спосіб відбити бажання жінки бути феміністкою - це спокусити, закохати і трахнути її ",Сексизм
Фантазії про нерівні права. В Україні жінкам гріх жалітись. Я б ще зрозумів в мусульманському світі про це (фемінізм) говорити.,стереотип
Фемінізм - це один із інструментів зменшення населення світу ,Стереотип
"Коли я чую слово ""фемінізм"", я уявляю погану доглянуту коротковолосу жінку, що виглядає як чоловік",Лукізм
Я ніколи не бачив феміністки десь на Кавказі та інших ісламських країнах ,Стереотип
Жінка (з великої літери) ніколи не буде феміністкою,"Стереотип, лукізм"
"Там, де фемінізм відсутній, народжується 3,4,5 дітей, а у нас демографічний колапс ",Стереотип
Сучасний фемінізм - це зворотній сексизм,Стереотип
Фемінізм - це боротьба потворних жінок за рівні права з прекрасними жінками ,Лукізм
"Феміністки борються проти сексизму, хоча самі є сексистами",Стереотип
Феміністки пропагують ненависть до чоловіків ,Стереотип
Ти правда будеш їсти це? Я думав ти з'їш салат.,Побутовий сексизм
"Помиєш посуд? В тебе, як в жінки це краще виходить.",Побутовий сексизм
"Якщо машина якось дивно їде, то в 4 випадках з 5 за кермом жінка.",Сексизм
"Приготуй йому їжу, це ж твій обовязок.",Побутовий сексизм
"Ти що не хочеш заміж, повір ти захочеш.",Побутовий сексизм
Жінці не личить пити аклоголь.,Побутовий сексизм
"Навіщо ти переймаєшся за свою кар'єру, ти повина сидіти з дітьми вдома.",Побутовий сексизм
"Я не розумію як прати, мабуть у жінок вроджене розуміння цього.",Побутовий сексизм
Чого ти одягла брюки? Ти повина бути жіночнішою. ,Побутовий сексизм
"Твоя робота це прибирання, піклуання за дітьми та готування їжі.",Побутовий сексизм
"Жінка повина піклуватись проо свого чоловіка, як його мати.",Побутовий сексизм
"Красна пава пір’ям, а жінка чоловіком ",Стереотип
"Краще жінка сварлива, ніж дурна  ",Стереотип 
 З бабою і дідько справу програв ,Сексизм
"Баба, що горщик: що ні влий - все кипить ",Стереотип
"Де чорт не зможе, туди бабу пошле  ",Сексизм
"Бог створив три зла - бабу, горілку і козла. ",Об'єктивація 
"Windows - жінка самотня, ось і тормозить ",Об'єктивація
"Де баба, там ринок; де дві, там базар. ",Стереотип 
"Без чоловіка жінка, що кінь без вуздечки. ",Стереотип
Жінку мовчання ще ніколи не підводило  ,Сексизм
"Жінка без сором'язливості, що їжа без солі  ",Слатшеймінг 
"Розум жінки - в її красі, краса чоловіка - в його розумі  ",Лукізм 
"Бог створив чоловіка та відпочивав, а створив жінку - і всі втратили спокій. ",Сексизм
У жінки правди не питай. ,Стереотип 
Жінка що ослиця - без палиці не вгамується. ,Сексизм
Жінка що курка: дай копняка - і напоумиться. ,Сексизм
Собака розумніший баби: на господаря не гавкає. ,Сексизм
"Чоловіки більше б зробили, якби жінки менше говорили. ",Сексизм
"Все від Бога, за винятком жінки. ",Сексизм
"У жінки волосся довге, да розум короткий. ",Сексизм 
"Мужчини люблять очами, а дівчата – вухами ",Сексизм
Прибирання – це не чоловіча справа ,Стереотип
"Дім - це місце, де жінка працює за відсутності чоловіка, а чоловік відпочиває в присутності жінки ",Стереотип
Жінці не місце в армії ,Сексизм
Шлях до серця чоловіка лежить через його шлунок ,Стереотип
Найголовніша ціль для жінки – це народити дітей ,Стереотип
"Жінка має бути гарна, а чоловік сильний ",Сексизм
Чоловік повинен заробляти більше за жінку ,Стереотип
Для жінки головне вдало вийти заміж ,Стереотип
Чоловік – це справжній козак ,Сексизм
"Жінка має виконувати все, народилась жінкою працюй, народилася б чоловіком, було б краще ",Стереотип
"Жінко, твоє місце на кухні ",Стереотип
Ти вчиняєш не по-чоловічому ,Сексизм
"Я дівчинка мені можна, а ти повинен ",Сексизм
Мужчина – це голова сім’ї ,Стереотип
"Своїм успіхом жінка зобов'язана чоловікові
Усі твердження повинні бути українською ",
Шахтар не жіноча професія,Стереотип
Це чоловіча справа забивати цвяхи. ,Побутовий сексизм
"Не розумію на що сподіваються жінки, які не вміють готувати. ",Побутовий сексизм
"Жінка - це, в першу чергу, берегиня домашього затишку.",Побутовий сексизм
"Розум - чолоівікам, а мудрість - жінкам",Стереотип
"Жінки мріють про кохання, а чоловіки хочуть тільки сексу ",Сексизм
Сенс існування жінки - материнство,Стереотип
Хто більше заробляє той і головний,Стереотип
Жінка не може бути керівником,Сексизм
"Краще молоко в холодильнику, ніж корова на кухні","Стереотип, сексизм"
"Мужик повинен бути головним, а якщо не так - то він підкаблучник
",Сексизм
"Твоє місце - на кухні, призначення - варити борщ, день - восьме березня",Сексизм
"Чоловік мав багато жінок - він мачо, у жінки було багато чоловіків - ""дама легкої поведінки""
",Сексизм
"
Жінка - це істота слабкої статі",Сексизм
Жіноча ініціатива - це легкодоступність,Сексизм
Жінки у владі - шкода родині,"Сексизм
"
"Зробила подарунок для чоловіка - груди
",Сексизм
"Жінко, твій день - восьме березня.",Сексизм
Це не чоловіча справа варити борщ.,Побутовий сексизм
"Емоції - це про жінок, а логіка про чоловіків.",Стереотипізаця
"Дружба між чоловіком та жінкою неможлива 
твердження - виклик ",Стереотип
Всі жінки хочуть дітей ,"Стереотип, сексизм"
Чоловічий характер,Стереотип
"Чоловік не вовк, на кістки не кидається",Лукізм
"Жінка себе не поважає, якщо народжує без обручки",Стереотип
"На чоловікові вся відповідальність за сім’ю, та всі витрати на ньому",Стереотип
Дівчата такі дівчата ,Сексизм
Чоловік – наш головний захисник ,"Сексизм, стереотип"
Красуні все можна пробачити ,"Сексизм, стереотип"
Всі ми баби - стерви,"Внутрішній сексизм
Це приклад мізогінії "
"У чоловіків є потреби, які жінка зобов’язана задовольнити ",Стереотип
Жіноче щастя (краще будувати руками чоловіка),Сексизм
Папік хоче барбі ,Об'єктивація
Барбі хоче гроші ,"Сексизм, стереотип"
"На її місці я би давно пішла від чоловіка, який мене бив, значить її все влаштовувало. Зі мною би такого не сталося",Віктімблеймінг
"А чого вона хотіла, якщо так одяглася?",Віктімблеймінг
"Якщо б вона була уважнішою та обережнішою, тоді вона могла уникнути зґвалтування",Віктімблеймінг
А чого не пішла до поліції після зґвалтування?,Віктімблеймінг
" Щось я не вірю, що її могли згвалтувати, вона ж страшна",Віктімблеймінг
"Ну і що, що тебе приставали, приставання це ж не насильство",Насильство
"З такою розбещенною поведінкою нічого дивного, що її зґвалтували",Віктімблеймінг
"Дівчата, не йдіть у політику – там так важко!",Сексизм
Краща прикраса для чоловіка – красива жінка.,"Сексизм, об'єктивізація"
"Вона не чинила мені супротив на вечірці, хоч була і не тверезою, тому це не зґвалтування.",Насильство
Дівчата не пускають газів,Сексизм
"Як для жінки, в тебе це добре виходить!",Сексизм
Будь леді! Будь справжньою жінкою!,Сексизм
"Суворі тривалі дієти, місяці і роки, проведені в тренажерному залі, скажені гроші, віддані пластичних хірургів, масажистам, візажистів і іншим модельєрам ... І все, виявляється, тільки з однією метою: звинуватити мужика в домаганнях! (с) гумористичне українське шоу",Насильство
Жінки самі хочуть бути зґвалтованими,Віктімблеймінг (україномовне слово?) 
Попередження вагітності - це обов'язок жінки,Сексизм
	Хай живе чоловік! При бажані він може досягти всього на світі. Хай живе жінка! При бажані вона може домогтися будь-якого чоловіка.,Стереотип
Чого ти перебиваєш? Ти що жінка?,Стереотип
Жінка завжди повинна залишатися жінкою ,Стереотип
Жінка робить чоловіка.,Стереотип
За кожним генералом стоїть генеральша,Стереотип
"Зовсім не важливо, що про тебе скажуть, якщо ти молода і в тебе красива дупа.","Стереотип, об'єктивація"
"Тебе виховала дівчисько
не дуже розумію, про що йдеться 
це точно правильно скопійоване із прикладів? ",Стереотип
Справжнім чоловіком бути непросто. ,Стереотип
Справжні чоловіки на вагу золота. Годуйте їх смачно - по-іншому ніяк!,Стереотип
Ти говориш як дівчисько.,Стереотип
Якщо вона жінка - то повинна йти на кухню і показувати там свої примхи.,Стереотип
Жінки головні в одному місці - на кухні.,Стереотип
"Бабі - квіти, спортсменам – медалі.",Стереотип
При всій моїй повазі до жінок - не жіноча справа проводити реформи.,Стереотип
Твій чоловік сидить з дітьми?,Стереотип
"Як тобі не соромно, ти ж хлопчик!",Стереотип
"Раз сказав, що я чоловік, то я маю це зробити",Стереотип
"Як для жінки, ти чудово з усім справляєшся",Стереотип
Складно бути бабою,Стереотип
Чоловік та дитина – речі непоєднувальні,Стереотип
"“Я не можу піти від мужика, який мене б’є” - не вистачило розуму не зв’язуватися з таким?",Віктімблеймінг
"“Благо від [заборони] абортів полягає в тому, що більшість баб несподівано увімкнуть рештки мозку і почнуть думати перед ким ноги розсувати […] 
а то безмозглі сєльді зачинають в п’яному угарі від п’яних бидло-альфачів..”.","Віктімблеймінг
варто сюди додати мізогінію, раз ви її згадуєте у поясненні "
"Нефіг випендріватися було! ""Відмовила"" вона! [У відповідь на новину про побиття поліцейської в маршрутці чоловіком, 
який попередньо до неї домагався].",Віктімблеймінг
"Ойойойо а вона що безрука?Вона повинна сама дати цьому раду, повір що у світі рожевих зайчиків є поліцейські, 
які повинні уміти дати раду бидлу,..... [У відповідь на новину про побиття поліцейської в маршрутці чоловіком, який попередньо до неї домагався] ",Віктімблеймінг
"Для чого втікати, якщо правий? Мав на те аргумент. [У відповідь на новину про побиття поліцейської в маршрутці чоловіком, 
який попередньо до неї домагався]",ВІктімблеймінг
"Якщо жінка себе любить і цінує, вона в принципі ніколи з такого роду чоловіками не перетинається. З такими чоловіками зазвичай зустрічаються 
жінки-жертви. Не один так інший - буде їх мучити, поки не стануть над собою працювати й прибирати причину того, що відбувається, зсередини. 
[У відповідь на новину про домашнє насильство в Україні]",ВІктімблеймінг
"Я вважаю побиття жінки злом, проте кажу, що зазвичай це реакція чоловіка на поведінку жінки. На погану поведінку жінки. 
[У відповідь на статтю про домашнє насильство в Україні]",ВІктімблеймінг
"Згоден: вбивство - злочин! Але, туди їй лярві і дорога. [У відповідь на новину про вбивство 22-х річної дівчини її шістдесятирічним партнером].",Віктімблеймінг
"Українки люблять бабло, гроші, живуть з ким попало заради вигоди, от і отримують за свою алчність [У відповідь на статтю про домашнє насильство в Україні].",Віктімблеймінг
"На жаль, мало людей задають собі питання - а ще рідше це роблять жінки: ""А що в мені такого, що я зробила не так, що спровокувала таку поведінку такого чоловіка? Як тільки жінки навчаться це робити, усі навколо, вони стануть щасливіші. [У відповідь на статтю про домашнє насильство в Україні].",Віктімблеймінг
"

Не вірю! Хватить робити всіх винними. Що насправді трапилось? Що вона йому сказала в маршруті? А може пригрозила що посадить?
[У відповідь на новину про побиття поліцейської чоловіком, який до неї домагався].
",Віктімблеймінг
Покликання жінки – прикрашати світ.,Лукізм https://www.merriam-webster.com/dictionary/lookism
"На роботу вагітна ходити не повинна, вдома сидіти і берегти дитину!",Стереотип
"Чому вона з ним жила, що не бачила, що неадекватний?[У відповідь на статтю про домашнє насильство в Україні].",Віктімблеймінг
"Сказ матки - немає коханця, немає чоловіка, нічого немає! Звір між ніг сидить. І через її безглузду мову цей смерч виривається назовні","Стереотип, хейтспіч"
Довгоногих журналісток запрошують обслужити імідж поліцейських,Об'єктивація
"У мережі бурхливо обговорюють нового заступника – 24-річну красуню, що вона взагалі може зробити, така ж молода","Ейджизм
а інші проблеми? "
"Жінці в політиці складніше, ніж чоловікам, тому що політичні дискусії – це складніше, ніж нарізати салати та прасувати",Стереотип
"Вот женский мозг, я специально нарисовал его больше, чтоб вам было видно. Женский мозг похож на сумочку: там все есть, но для того, чтобы найти что-то, надо все вытряхнуть",Стереотип
"Де твої груди?"" Дорофєєва здивувала мережу вульгарним фото",Об'єктивація
"Подивіться на свій образ і судіть, на кого ви більше схожі - на королеву або повію. І тоді усвідомте, яке по праву може бути до вас ставлення","Лукізм
а чому не сексизм також? "
Мокра дівчинка позує: Ізабель Гулар показала звабливе фото на фоні морських краєвидів,Об'єктивація
"Жінко, будь красивою і «не умничай»",Лукізм
"В Україні дуже красиво, дуже смачно і дуже красиві люди, особливо жінки. Так, все це є, і воно залишається нашим брендом",Об'єктивація
Раду замінували секс-бомби,Об'єктивація
"Більшість жінок терплять це насильство, але не звертаються до поліції, ось це проблема наших жінок.",Віктімблеймінг
"А чому ніхто не зверну уваги на жінок стервозного напрямку, які спеціально годинами-днями-роками 
провокують-скубуть чоловіків і ті врешті-решт помирають?",Віктімблеймінг
"А вбивство матерями новонароджених, що набрало в Україні масового характеру, то не насильство в сім'ї?
[У відповідь на статтю про домашнє насильство в Україні]","Віктімблеймінг
Сексизм? "
Мужик - жертва шлюбу. [У відповідь на статтю про домашнє насильство в Україні].,Віктімблеймінг
Досить виправдовувати жіночу розпусту. [У відповідь на новину про згвалтування],Віктімблеймінг
Жінки самі провокують чоловіків своїм непристойним одягом та поведінкою.,ВІктімблеймінг
"А чого ж ви провокуєте, для чого виставляете все на показ скрізь де тільки можна, і не можна, 
чого вчите своїх дочок, подивіться на фото- фідео випускних, на своїх чад в що ви їх наряджаєте, 
та і на самих себе.",ВІктімблеймінг
"Реклама Альфастрахування: «Купив"" німку ""? Застрахуй її швидко і без прелюдій »",Об'єктивація
"Згвалтував бойфренд на другому побаченні? Напевно, сама хотіла.",Об'єктивація
" “Для дружини важливіше підтримувати кар’єру чоловіка, ніж робити свою власну”",Стереотип
"“Гарна мати повинна все віддати дітям, а потім думати про
себе”",Стереотип
Гарненька яка. Ще й розбирається,Сексизм
"Неочікувано хороший результат, як на жіночку",Сексизм
"Та там такий документ простий, люба дівчина розбереться",Сексизм
"Диви яка зла! Це її мабуть ніхто не трахає, ну й не дивно, такого страшного",Сексизм
Чоловіки не плачуть.,Гендерний стереотип
Всі чоловіки полігамні і жінки повині з цим змиритись.,Гендерний стереотип
"Чоловік, який стверджує, що жінці місце на кухні просто не знає, що з нею робити в спальні.",Сексизм 
Жінка ніколи не зрівняється з чоловіком.,"Сексизм, гендерний стереотип"
"Жінка стає повноцінною тільки тоді, коли її полюбить чоловік.","Сексизм, гендерний стереотип"
Блондинки не такі вже й дури як хотілось.,"Сексизм, лукізм"
"Розумна жінка сама розуміє, що вона дура. ",Сексизм
"Хлопцям потрібно гарно вчитись, а дівчатам достатньо успішно вийти заміж. ",Гендерний стереотип
"Жіночий мозок у середньому важить меньше чоловічого, тому жінку важко зрозуміти.","Гендерний стереотип, сексизм "
Без жінки ти не чоловік.,Сексизм 
Коли чоловік говорить - жінка повинна мовчати. ,Сексизм 
"У житті жінки є три періоди: спочатку вона отруює життя батька, потім чоловікові, а потім зятю.",Мізогінія
Місія кожної жінки - стати мамою.,Гендерний стереотип
Чоловік повинен бути трішки гарніший за мавпу.,Лукізм
"Баби дури не тому що дури, а тому що баби.",Сексизм
Нехай жінка не розмірковує: це жахливо.,Сексизм
Жінці не місце в політиці. ,Сексизм
Прикраса жінки – мовчання.,Сексизм
Жінки у владі - шкода родині.,Сексизм
"Чоловік - голова, а жінка - шия ",Гендерний стереотип
"Мудра жінка,  навіть посварившись з чоловіком, все одно приготує йому вечерю
",Гендерний стереотип
Дамський угодник,"Стереотип, об'єктивізація"
"Волос довгий, розум короткий","Стереотип, сексизм"
"Аби стати жінкою генерала, потрібно вийти заміж за лейтенанта, да помотатись з ним по гарнізонах",Стереотип
"Думається мені, максимум, що може зробити жінка для кар'єри чоловіка, - це не заважати","Стереотип, сексизм, дискримінація"
Дамський каприз,"Стереотип, сексизм"
Як втримати чоловіка,Стереотип
Соски наче червона ганчірка для чоловіка,"Стереотип, сексизм, об’єктивація"
"Ти недожінка, якщо не вмієш готувати","Стереотип, сексизм"
Дружби між чоловіком та жінкою не існує,Стереотип
Всі жінки хочуть дітей,"Стереотип, сексизм"
Красуні все можна пробачити,"Сексизм, стереотип"
"У чоловіків є потреби, які жінка зобов’язана задовольнити",Стереотип
Папік хоче барбі,"Об'єктивація, дискримінація, сексуалізація"
Жінки - квіти життя,"Об’єктивація, гендерний стереотип"
"Жінка має займатися одним, чоловік - іншим",Гендерний стереотип
Вона моя ціль,Сексуальна об’єктивація
Нарешті я зробила собі груди,"Лукізм, сексизм"
Вона подарувала йому дитину,Об’єктивація
Дівчата такі дівчата,"Гендерний стереотип, сексизм"
Чоловік – наш головний захисник,"Гендерний стереотип, сексизм"
Барбі хоче гроші,"Гендерний стереотип, сексизм"
З її зовнішністю їй не потрібно бути розумною,"Лукізм, гендерний стереотип"
Жіноча логіка,Гендерний стреотип
"Такій гарній дівчині як ти, легше живеться","Лукізм, гендерний стереотип"
"Хлопчикам - машинки і пістолети, дівчаткам - ляльки",Гендерний стереотип
Б'є значить-любить,Стереотип
Прояв почуттів це не мужньо,Гендерний стереотип
Всі жінки - емоційні,Гендерний тереотип
"Спільну дитину жінки люблять, більше ніж чоловіки",Гендерний стереотип
"Розум - чоловікам, а мудрість - жінкам",Стереотип
"Жінки мріють про кохання, а чоловіки хочуть тільки сексу
",Сексизм
"Хто більше заробляє , той і головний",Стереотип
 Жінка не може бути керівником,Сексизм
"Девіз холостяка - краще молоко в холодильнику, ніж корова на кухні","Стереотип, сексизм"
 Велика кількість сексуальних партнерів псує жінку.,Гендерний тереотип
Дівчинка – це помічниця для мами,Стереотип
Всі чоловіки козли,Сексизм
Шлях до серця чоловіка лежить через його шлунок,Стереотип
 «Через дурний розумочок дівка втратила віночок»,сексизм
" Дівчата - ніжні квіточки, які треба оберігати і плекати"," Об'єктивація, доброзичливий сексизм"
"""Згвалтував бойфренд на другому побаченні? Напевно, сама хотіла.""","сексизм, віктімблеймінг"
"“Для дружини важливіше підтримувати кар’єру чоловіка, ніж робити свою власну”",сексизм
"Хороша мама повинна найкраще віддати дітям, а потім подбати про себе","сексизм, стереотип"
Своїм успіхом жінка зобов'язана чоловікові,сексизм
Жінка повинна бути гарною,"сексизм, стереотип "
По природі всі чоловіки мисливці а жінки для них - дичина,"сексизм, об'єктивація"
"«Не варто сперечатися з босом про зарплату; як жінка ти відразу втрачаєш цінність, якщо не погоджуєшся з пропонованою тобі зарплатою ».",сексизм
"""Жіноча логіка - явище, яке важко зрозуміти, пояснити або з чимось порівняти. Жіноча логіка не передбачувана, суперечлива, парадоксальна, як і сама жінка »",сексизм
"Хлопчики ""по своїй природі"" схильні бути більш агресивними, бо вони формують нові норми поведінки, розрушуючи старі. Якщо дівчинка агрессивна - вона проблемна і не сексуальна ",сексизм
" «Заміжня жінка не може довго затримуватися на роботі,
оскільки у неї є обов'язки по дому ».","сексизм, стереотип"
"Жінко, ти повинна займатися сексом, коли я захочу, це ж твій подружній обов'язок",сексизм
В тебе добре виходить як на жінку,доброзичливий сексизм
Політика не для жінок,сексизм
"""32-річна блондинка стала в.о. голови Харківської ОДА ""(Корреспондент.нет)",сексизм
"Прибирати в хаті, готувати на їжу і виховувати дітей це твій обов'язок, жінко!",сексизм
" «Жінка не бита, як коса не клепана»","сексизм, стереотип"
"“Я не можу піти від мужика, який мене б’є” - не вистачило розуму не 
зв’язуватися з таким?",Віктімблеймінг
"Ось жіночий мозок, я спеціально намалював його більше, щоб вам було видно. Жіночий мозок схожий на сумочку: там все є, але для того, щоб знайти щось, треба все витрусити","Сексизм, гендерний стереотип"
"""Де твої груди?"" Дорофєєва здивувала мережу вульгарним фото","Сексизм, об'єктивація"
"Ви ж не жінка, Ви - людина серйозна",Сексизм
        Хай живе чоловік! При бажані він може досягти всього на світі. Хай живе жінка! При бажані вона може домогтися будь-якого чоловіка.,Стереотип
"Тебе, що виховала дівчисько?
",Стереотип
